a,b,c
80,77,965
919,41,860
442,55,884
444,10,425
692,86,422
447,65,407
410,80,422
173,38,256
357,40,247
917,97,286
620,85,480
164,12,237
957,56,897
619,89,223
650,89,817
385,38,530
671,94,545
7,26,900
421,89,847
853,76,795
661,32,273
533,40,455
371,90,962
76,78,855
969,21,685
532,96,542
595,63,468
373,1,461
592,33,238
708,14,318
48,32,340
884,12,498
846,74,168
564,98,472
504,76,724
756,21,644
435,24,391
84,53,681
669,13,890
311,46,771
339,2,73
13,33,515
255,49,776
13,44,962
912,88,429
386,78,549
251,97,491
616,76,957
446,38,668
356,92,40
713,94,496
813,78,308
456,41,17
657,34,330
247,40,587
461,43,830
112,17,613
932,34,494
456,38,972
50,26,420
521,1,718
689,26,877
869,69,948
71,40,242
902,93,359
319,10,822
894,41,767
423,1,838
478,63,200
27,52,418
593,33,339
52,9,683
289,32,158
225,41,562
460,7,708
820,75,238
132,36,605
880,56,455
384,39,699
458,73,160
705,45,238
936,10,781
583,88,807
993,54,404
680,83,845
934,41,943
266,4,289
543,19,938
152,74,186
669,20,716
148,96,92
97,83,24
986,41,446
342,63,167
719,78,614
458,47,671
761,13,309
275,36,684
889,41,269
410,61,473
432,25,589
377,95,51
182,69,506
745,25,492
852,74,334
421,71,991
691,42,557
727,65,580
820,96,965
56,92,173
696,48,96
87,17,823
217,28,91
950,68,268
894,42,985
75,43,843
998,7,759
949,62,574
162,100,131
885,7,105
162,99,580
983,42,748
255,32,21
88,70,711
626,3,909
632,19,763
473,56,276
710,14,429
416,7,663
153,17,846
94,91,667
520,95,456
427,80,652
345,68,292
51,91,175
164,31,657
511,59,977
784,9,784
852,95,504
680,90,673
330,55,100
848,30,350
97,3,109
859,90,770
858,38,847
714,88,365
50,39,217
656,20,491
630,67,658
823,100,924
707,30,971
972,62,876
160,84,717
507,3,726
616,76,642
401,86,416
42,11,931
236,97,222
846,50,924
220,14,945
728,33,583
810,71,440
505,95,542
272,54,712
62,31,417
636,28,312
166,9,259
706,47,983
18,66,260
386,88,484
371,34,506
624,44,625
910,65,343
390,60,327
460,29,193
748,51,946
60,52,930
170,29,5
182,83,647
932,82,134
535,79,447
325,86,625
593,70,747
851,75,715
720,2,186
721,95,208
182,43,805
491,18,926
984,42,448
234,88,648
483,98,129
663,32,282
106,82,929
945,97,174
144,29,929
795,86,556
214,9,712
963,23,797
798,39,770
192,9,867
866,98,754
919,51,2
768,21,843
379,79,667
58,19,711
273,100,119
940,28,162
65,92,902
191,71,100
645,63,512
781,55,671
154,24,535
972,13,877
507,51,636
785,86,290
558,50,712
2,93,168
318,32,93
866,73,554
932,70,577
697,56,517
837,1,189
133,81,658
903,8,591
641,19,321
378,79,468
60,38,921
525,18,601
276,28,677
670,39,429
28,52,473
64,52,281
529,34,691
545,37,68
154,12,346
893,31,764
338,46,305
517,66,776
167,15,10
483,10,876
334,16,375
972,63,955
381,74,416
689,53,472
987,6,289
566,9,945
497,97,21
903,66,138
689,36,111
606,27,211
536,3,340
709,70,938
627,81,322
10,72,659
958,36,71
901,67,522
678,40,580
395,20,359
532,13,157
667,3,21
84,52,886
555,73,143
28,22,781
39,1,75
570,99,182
861,47,885
455,70,236
878,88,623
1,27,225
264,14,214
238,27,998
521,65,936
857,78,523
478,49,979
244,52,437
448,5,381
447,79,807
390,34,931
123,33,507
623,90,977
504,56,34
678,100,199
640,49,987
726,86,658
681,34,152
29,48,552
752,57,759
770,31,405
882,26,963
862,13,635
400,59,406
225,90,630
353,30,209
103,39,319
349,10,889
294,87,906
757,64,461
137,51,408
197,26,807
888,7,44
463,39,671
919,82,830
734,9,758
793,98,198
650,12,348
701,98,301
320,61,823
121,33,217
746,98,493
827,80,955
765,17,922
348,39,608
743,31,615
813,77,617
624,87,755
197,31,745
885,61,839
27,27,265
34,18,611
388,10,311
599,47,787
579,56,881
62,49,769
374,2,681
667,99,230
10,15,28
37,98,887
197,65,725
95,24,181
186,90,624
559,44,141
33,41,746
845,71,296
983,49,636
129,42,225
46,16,182
150,19,618
904,41,710
402,33,629
934,55,108
714,9,994
986,84,791
956,1,276
150,98,683
106,1,666
30,78,33
591,85,932
111,95,625
39,45,864
491,25,365
330,14,901
62,29,219
794,4,663
217,59,173
911,95,372
187,45,623
584,96,449
539,49,572
971,50,233
993,65,948
985,90,931
618,78,706
705,30,605
720,48,367
971,63,369
61,49,593
638,78,217
599,28,980
956,79,825
1,90,846
47,39,405
341,49,989
301,67,444
77,46,65
455,86,552
649,62,863
684,19,976
96,62,778
853,10,644
825,90,357
13,62,49
878,59,560
591,72,955
109,83,194
91,94,787
84,5,814
373,25,424
796,89,563
503,84,457
672,10,144
893,59,562
81,77,614
218,37,917
917,55,908
480,94,972
68,26,334
316,30,854
449,59,543
722,41,775
799,72,142
403,63,213
706,16,314
98,49,565
826,92,534
416,25,940
797,94,135
261,69,165
883,70,984
614,9,287
431,1,187
932,3,360
750,93,72
105,39,223
397,68,61
101,42,673
304,54,986
951,96,106
422,49,354
25,41,723
635,15,106
589,3,353
272,82,709
159,33,572
449,25,519
202,52,139
713,62,543
225,65,794
424,52,611
813,31,637
697,23,248
573,39,844
515,26,266
920,79,110
550,68,441
310,85,295
213,15,359
276,89,315
593,1,215
154,25,567
790,13,499
66,69,833
475,77,496
72,79,145
828,79,554
954,50,305
71,96,402
904,51,920
125,90,145
612,44,186
215,75,901
692,94,248
929,81,448
882,32,744
672,95,510
269,66,352
76,78,560
943,75,155
983,3,914
337,44,254
129,4,819
43,65,347
791,84,918
908,19,549
603,36,574
660,70,520
35,89,10
805,5,533
549,76,646
931,92,23
180,61,146
362,32,681
383,22,971
445,79,902
732,82,201
531,39,544
941,87,363
581,27,48
228,10,469
101,37,14
822,56,897
993,13,321
14,83,872
694,15,500
176,73,215
829,27,103
679,82,722
412,44,580
282,97,763
397,26,116
156,5,797
559,5,716
235,23,134
347,52,557
279,40,595
655,36,568
70,76,2
971,67,134
824,62,558
336,94,198
5,40,874
746,81,177
722,94,703
633,35,448
775,2,447
296,93,893
125,79,368
720,75,499
164,47,226
266,74,122
692,77,238
417,43,822
831,84,445
219,97,957
113,45,12
715,22,747
841,33,171
907,62,621
137,7,666
569,16,915
628,25,451
317,88,208
541,47,172
708,74,83
651,32,758
836,98,989
418,63,836
65,66,773
723,13,327
742,75,15
579,72,673
508,73,364
205,59,208
365,70,63
349,48,15
147,65,216
216,89,601
338,6,217
324,96,899
544,33,240
804,88,471
903,56,742
168,66,653
19,20,736
50,17,3
107,21,307
631,58,743
511,60,769
401,79,365
982,29,50
654,88,546
215,94,456
853,47,448
166,25,904
190,33,78
545,47,302
55,67,209
63,82,313
37,40,120
822,51,209
851,26,742
338,88,285
266,16,124
543,66,490
425,88,874
365,73,984
819,37,829
636,18,239
362,80,967
108,81,900
657,74,838
183,18,273
864,79,110
317,76,745
79,99,268
24,10,908
41,14,825
967,73,149
991,23,30
174,26,675
440,8,593
506,86,836
302,34,810
61,90,73
211,50,464
816,45,184
835,93,816
143,58,411
196,45,571
215,31,847
867,46,827
371,39,47
946,1,849
85,46,337
405,88,629
232,94,854
836,41,727
536,38,68
968,44,377
333,11,370
625,51,66
337,47,999
936,80,742
590,10,144
85,91,214
399,3,95
65,1,344
900,5,996
757,58,930
447,12,556
649,42,706
385,15,642
282,28,708
861,11,827
653,38,399
350,75,48
508,8,749
542,66,995
917,87,749
887,40,288
163,4,514
546,40,297
367,29,202
701,1,2
760,59,373
855,6,346
797,43,332
719,75,837
453,99,912
851,47,163
423,90,30
626,71,372
985,31,955
968,60,275
964,58,200
821,46,612
120,79,672
707,34,335
649,73,725
183,64,286
993,75,978
480,28,7
895,68,636
926,41,654
545,50,667
697,43,191
692,84,570
28,12,341
323,97,381
99,67,550
856,61,123
327,67,142
550,26,248
706,31,578
69,45,890
700,97,417
153,18,543
753,45,449
421,53,847
942,21,923
65,68,284
997,68,37
943,69,174
473,91,365
85,57,300
65,72,153
728,17,485
517,97,152
748,76,822
824,7,484
781,79,408
175,39,497
594,90,578
405,19,840
931,16,28
167,96,987
787,32,631
787,26,484
163,25,128
621,11,923
486,60,185
411,49,310
178,69,390
954,90,212
538,49,944
58,49,299
725,73,732
320,17,138
795,20,947
39,31,731
505,7,174
661,70,123
461,12,100
594,27,928
418,38,666
501,67,720
239,17,582
987,22,649
971,92,920
264,43,117
961,38,173
358,19,793
880,19,938
40,85,262
507,5,617
556,36,129
669,47,328
132,71,395
992,18,952
498,89,505
880,55,236
774,72,744
563,42,254
736,1,930
840,52,820
870,2,65
541,63,23
849,89,484
663,67,347
981,59,239
549,81,321
324,3,615
17,12,666
626,32,580
752,74,138
305,13,713
489,5,236
39,19,944
367,97,547
712,52,801
167,39,657
675,77,982
805,63,684
56,96,920
578,98,685
762,9,715
137,89,692
698,31,726
598,2,619
616,95,789
506,98,354
486,98,654
505,27,217
298,58,857
534,68,495
661,97,850
736,69,997
951,87,565
354,42,368
612,80,406
56,57,643
965,20,727
562,79,969
516,40,158
957,27,347
713,63,262
139,77,921
949,6,547
616,86,461
547,94,814
315,34,917
358,71,843
875,90,986
191,23,470
522,64,565
264,15,66
461,4,435
463,53,372
660,52,317
737,34,343
421,26,119
83,90,952
960,93,106
197,99,356
898,96,603
85,34,740
134,71,548
581,49,782
655,86,723
913,41,875
126,9,962
177,38,609
727,76,61
135,70,495
10,67,538
912,96,348
55,66,658
537,72,814
835,54,26
705,22,567
409,89,147
442,92,948
684,53,388
925,58,271
508,69,762
103,93,428
172,97,632
86,29,506
33,32,319
115,23,484
285,34,210
586,27,214
552,29,955
50,40,958
636,19,627
550,100,200
468,2,738
297,8,531
379,38,639
991,23,509
136,74,101
790,20,160
132,49,409
969,70,322
425,26,353
797,29,89
727,76,769
863,9,778
771,12,640
983,85,378
976,38,375
983,94,321
28,44,214
841,94,787
408,89,376
463,36,161
332,69,143
148,48,178
911,10,745
757,94,694
363,61,455
880,44,223
810,95,57
171,99,412
169,40,170
770,77,610
82,35,693
544,16,462
570,9,325
420,75,627
458,19,872
72,24,317
259,40,957
281,49,55
232,86,927
972,99,784
841,78,204
961,26,989
207,85,106
690,88,7
978,81,890
39,86,906
688,26,272
789,27,441
883,33,728
230,13,695
182,47,301
236,11,884
885,16,345
684,84,295
475,77,39
709,46,713
923,68,113
84,21,181
464,16,347
116,94,742
753,65,203
136,45,49
969,26,27
435,71,306
313,41,261
980,74,113
365,21,220
903,97,295
383,6,644
293,79,401
940,82,359
600,9,889
453,54,726
713,69,487
967,9,998
843,76,581
865,99,401
293,64,345
618,21,91
18,9,660
140,41,435
715,32,561
251,58,959
693,94,310
715,84,883
543,50,297
777,57,79
809,22,672
246,74,799
979,11,218
840,78,278
742,49,460
200,56,972
818,11,353
946,90,381
964,21,582
42,74,294
968,27,535
569,94,635
986,39,845
530,63,510
150,72,188
137,48,736
832,30,1
337,17,653
938,65,596
314,52,994
690,18,350
702,54,128
217,74,452
855,15,882
69,3,292
397,49,145
149,95,138
814,9,803
138,39,478
212,53,536
470,88,225
531,72,56
520,20,815
175,38,398
75,20,586
865,58,549
664,77,710
894,92,192
76,37,637
899,34,91
944,91,409
466,9,698
729,10,585
823,29,615
5,83,17
582,81,277
485,86,329
476,16,20
855,53,141
637,67,227
738,26,201
587,40,653
4,61,549
305,3,580
469,92,542
42,1,34
150,99,281
764,74,805
898,97,177
307,46,343
547,54,908
926,43,191
837,40,842
424,56,897
908,88,345
571,24,67
769,6,188
658,32,878
758,91,208
994,71,819
198,50,539
495,11,131
352,46,566
759,39,528
642,79,174
120,100,43
919,15,324
960,59,50
948,32,361
271,27,104
602,81,267
189,21,539
15,10,89
356,35,802
819,2,304
332,25,328
955,36,925
489,60,96
174,3,705
859,23,375
730,81,206
319,13,74
716,74,898
212,64,793
590,34,220
329,99,501
377,92,494
32,41,581
462,72,270
122,9,524
907,19,41
149,63,92
553,47,428
773,78,621
909,69,212
285,92,179
285,77,807
314,58,480
364,87,431
993,24,341
193,76,563
907,34,205
309,62,903
993,62,395
719,64,47
226,95,954
798,17,149
393,51,514
372,62,593
736,80,146
715,3,872
696,39,604
56,64,920
995,28,130
463,85,873
252,93,270
320,91,162
824,53,380
278,69,333
223,64,651
816,66,752
19,84,51
732,31,317
834,49,388
536,90,529
786,90,526
840,30,41
297,58,19
510,26,483
723,100,672
436,12,583
792,21,401
125,17,738
441,51,124
773,63,745
608,53,364
759,4,375
162,71,82
687,17,763
810,59,930
369,77,677
413,37,819
793,13,894
393,95,982
65,20,524
452,14,312
687,64,696
265,31,776
210,99,956
747,10,350
808,81,348
844,49,78
657,2,532
86,46,46
665,79,317
191,40,198
785,45,503
480,39,766
955,58,422
424,48,755
174,91,898
509,11,118
50,66,230
303,94,928
300,35,732
483,32,343
38,99,404
173,80,320
122,94,92
31,80,225
656,96,76
369,40,681
350,3,803
811,69,273
189,71,852
252,69,836
262,68,26
983,40,365
849,14,571
493,95,989
953,19,697
440,34,35
468,8,920
539,35,843
869,65,733
438,47,904
581,74,13
266,96,212
407,78,363
710,42,932
422,56,404
563,24,542
129,80,117
340,78,337
927,6,245
33,35,286
184,39,354
320,10,907
22,8,419
767,63,941
678,20,788
870,15,337
872,51,957
441,35,373
822,89,441
187,8,730
975,54,898
11,75,38
143,66,665
451,87,236
628,18,330
120,91,283
811,17,24
486,69,860
752,99,519
646,89,573
235,88,310
60,65,449
836,82,985
871,30,680
131,84,424
130,73,945
384,64,528
301,58,200
982,77,134
588,9,113
211,17,662
854,14,725
540,96,294
483,96,732
534,14,143
709,78,253
659,92,765
507,12,196
638,40,37
65,73,870
192,64,119
959,79,465
690,10,840
849,2,858
184,12,898
325,41,171
551,86,906
210,23,556
755,90,805
12,8,495
152,18,936
404,23,527
443,20,6
534,28,62
436,64,128
438,74,933
545,23,968
430,90,495
131,44,648
739,62,321
954,20,723
925,47,474
446,92,932
363,63,72
220,70,186
140,42,131
516,53,376
495,60,272
329,41,72
892,75,536
407,93,792
728,78,887
655,12,290
869,63,395
654,43,934
461,8,599
7,67,890
389,5,764
476,9,938
274,67,582
751,12,314
127,48,114
136,31,521
744,64,481
502,69,145
96,73,867
249,1,215
405,57,449
498,36,215
760,91,957
447,30,711
76,82,459
640,95,565
278,5,559
823,29,878
598,33,446
376,31,645
207,59,729
316,5,828
48,33,378
332,35,228
518,22,535
206,45,185
640,66,932
558,78,703
236,62,468
865,23,748
236,18,670
122,21,200
482,65,513
180,99,744
353,85,90
804,63,327
935,76,467
277,46,46
108,63,212
69,21,448
876,82,383
808,100,803
953,23,689
238,93,101
161,1,170
958,57,495
592,38,470
513,84,174
251,34,928
694,67,981
345,70,462
642,9,66
145,56,7
212,16,383
192,78,11
590,3,282
109,61,959
120,21,638
621,67,415
815,39,949
440,61,584
843,19,440
373,46,485
528,21,364
890,75,205
190,77,440
74,75,18
429,38,557
805,49,96
872,89,411
559,76,387
481,27,227
81,20,446
522,67,371
529,37,115
463,23,151
310,39,391
608,43,192
541,78,599
874,11,852
236,47,91
239,95,188
559,90,191
230,91,445
272,12,863
293,83,957
855,28,946
488,18,952
355,88,552
656,33,290
517,52,849
112,72,767
319,79,177
89,72,941
511,59,688
223,71,938
382,63,383
674,47,594
747,32,562
541,33,26
697,64,18
773,30,960
556,6,201
619,9,186
733,89,517
267,45,569
184,94,200
918,8,206
901,1,939
490,79,37
556,4,14
181,33,56
916,62,890
306,45,657
637,99,146
357,54,21
887,34,915
985,64,532
623,18,715
392,61,240
148,15,291
722,81,964
591,37,895
55,85,501
79,60,45
978,55,740
414,62,425
943,25,413
798,54,351
660,65,435
696,64,111
747,65,654
731,45,762
31,55,625
772,75,720
492,52,979
636,81,700
352,31,612
1000,31,898
595,49,788
438,2,907
976,100,832
3,84,662
28,77,563
44,92,929
116,87,389
222,37,635
89,76,34
118,29,82
494,88,340
8,27,723
675,50,239
512,17,433
676,32,825
784,91,20
425,9,559
968,34,718
261,91,493
488,32,312
969,31,205
253,9,611
669,38,400
407,4,491
845,40,89
714,97,231
438,89,674
191,31,121
125,97,646
878,50,988
216,99,433
732,26,850
120,13,457
278,73,945
205,5,6
809,39,667
35,95,310
632,7,608
935,58,254
526,45,560
932,59,999
384,61,880
821,54,795
124,60,449
972,19,286
239,96,906
251,65,331
781,25,525
792,3,394
651,6,868
845,83,95
943,21,993
507,7,731
297,95,967
145,52,606
467,32,431
454,16,553
132,12,586
937,56,530
237,72,638
66,44,234
249,27,230
398,71,797
718,30,559
354,57,138
229,33,674
836,14,908
857,95,956
960,30,87
977,65,293
190,62,567
556,92,564
610,79,397
815,35,533
957,23,826
466,76,101
998,60,225
24,85,507
326,25,741
38,70,317
258,5,802
850,67,62
403,81,247
483,41,910
720,63,847
863,37,26
453,36,514
404,53,642
879,79,124
936,51,867
452,65,306
887,88,5
531,25,298
969,14,215
355,68,916
530,41,259
793,54,479
24,15,515
706,78,212
285,23,158
993,67,705
970,97,145
4,18,404
165,29,923
237,98,761
236,5,553
648,95,237
207,55,224
534,94,154
321,64,902
934,18,521
998,94,662
530,67,180
828,11,997
210,4,94
447,18,379
898,36,200
484,20,232
864,3,194
197,40,8
701,90,615
759,5,339
868,89,413
932,28,640
965,69,138
786,99,454
698,99,731
876,17,368
589,15,468
792,39,762
784,29,392
420,66,337
357,17,392
241,57,911
768,79,907
696,7,69
870,4,983
909,37,361
113,91,233
223,30,553
191,79,201
172,100,890
462,58,116
309,81,337
124,86,594
587,97,833
397,24,716
617,55,743
356,96,824
360,8,259
14,78,118
74,93,186
166,31,373
521,12,373
313,30,912
349,55,98
376,30,562
125,85,749
174,35,914
516,42,638
20,30,997
959,20,619
242,55,381
110,42,342
874,32,403
375,100,477
77,52,276
945,51,127
885,73,601
599,66,366
61,18,479
723,42,964
729,58,262
133,54,832
391,94,525
447,50,483
387,53,839
945,38,576
221,30,651
553,72,737
490,95,731
158,62,485
961,42,835
853,100,653
870,2,597
385,55,62
215,25,631
376,88,496
104,17,322
304,33,113
618,40,944
845,38,959
873,44,656
580,64,117
182,19,630
923,70,69
286,23,26
105,35,983
888,28,162
157,6,134
640,10,965
637,89,119
132,28,697
139,22,190
290,80,610
962,80,440
158,72,28
273,82,46
97,83,464
248,86,144
29,100,432
797,14,542
219,43,509
685,14,516
509,43,978
204,98,245
734,47,206
656,51,67
91,35,179
80,100,312
329,88,100
504,91,128
632,67,919
355,33,685
522,61,738
197,78,967
849,12,52
631,57,150
315,63,720
184,31,373
620,73,78
476,49,958
75,86,107
526,99,718
556,59,8
467,97,860
743,52,2
651,77,560
924,44,37
27,30,644
278,50,55
950,1,834
353,17,386
552,28,21
581,99,868
593,34,812
422,3,84
472,8,387
210,84,446
504,15,835
571,52,657
225,22,650
279,8,112
490,83,969
223,81,914
189,36,271
885,85,877
888,42,211
353,31,629
211,94,221
223,97,637
166,47,133
164,34,933
15,66,900
347,5,914
453,46,286
686,79,473
270,7,319
516,34,669
588,6,162
87,45,428
965,61,962
628,73,608
987,97,608
807,24,33
150,85,730
82,65,874
257,80,560
948,38,414
590,36,297
891,48,254
638,21,594
825,73,314
735,31,521
901,100,995
54,7,945
165,92,376
403,55,430
956,6,742
177,73,295
444,36,51
820,26,27
375,27,918
472,64,520
867,57,676
848,26,541
910,92,792
830,19,253
830,62,123
8,83,520
156,83,224
321,86,96
632,3,621
244,99,314
395,56,223
205,53,991
139,15,370
659,58,273
526,81,541
606,19,536
65,20,926
613,76,713
43,23,815
840,88,905
593,52,449
185,55,934
17,48,136
914,41,218
545,58,980
98,23,152
603,87,342
869,52,464
172,85,308
69,35,853
878,90,49
284,7,99
207,36,388
249,75,846
925,7,508
927,14,866
530,75,505
239,100,890
651,47,336
480,73,627
771,49,323
644,79,957
221,46,590
742,30,201
255,38,175
505,4,69
218,35,338
32,98,556
503,41,340
702,91,960
592,68,732
213,7,1000
736,60,156
919,40,143
130,65,403
792,81,300
69,89,303
741,29,950
652,4,817
12,66,291
240,27,235
848,43,418
839,96,118
962,70,884
279,4,795
223,18,473
310,99,575
15,56,918
108,83,672
36,70,193
530,27,793
175,8,255
403,87,195
747,37,370
500,63,950
842,38,120
808,56,508
943,26,924
613,63,864
644,28,73
937,84,724
6,18,236
565,38,136
863,73,412
828,42,208
316,55,170
466,76,214
993,67,22
108,39,419
301,100,434
863,77,170
941,77,76
350,90,511
872,20,910
370,6,201
916,58,12
326,32,737
8,69,437
7,7,653
583,80,704
378,100,357
988,55,427
675,61,66
835,19,391
558,51,886
51,67,911
964,91,874
1,73,83
739,58,978
935,85,367
913,36,102
976,45,746
46,48,572
925,77,660
839,15,492
589,51,627
351,53,472
820,93,845
268,48,99
261,28,302
723,13,835
271,4,163
301,76,462
893,25,880
143,27,594
231,64,257
780,24,377
496,91,91
59,54,990
97,83,368
577,96,844
126,23,850
484,75,862
186,9,514
144,80,787
844,23,250
706,2,248
433,59,494
34,73,552
543,70,76
792,37,544
760,84,595
229,64,411
426,35,660
376,97,845
214,66,829
809,52,486
885,35,499
78,34,204
693,13,750
458,85,390
472,88,885
667,77,808
389,99,660
22,1,445
919,96,506
112,9,87
253,68,821
106,4,516
169,21,883
326,62,594
986,35,391
79,45,600
344,19,77
601,61,38
108,99,126
38,40,614
477,99,352
104,63,13
637,64,951
944,73,471
862,33,877
773,13,987
676,66,92
861,61,499
708,34,949
253,90,214
628,49,860
191,38,178
200,100,133
123,34,815
810,84,404
153,65,730
302,7,876
440,32,702
11,71,784
856,26,610
445,45,241
576,1,477
689,80,286
13,50,536
367,63,831
378,2,615
414,89,981
143,86,898
53,47,81
357,13,135
938,10,670
90,63,9
793,34,233
977,55,938
982,8,157
674,22,653
288,75,272
177,33,431
342,1,630
269,53,411
158,13,731
271,67,893
388,49,532
221,96,451
551,50,761
476,53,739
143,17,603
500,29,757
534,14,810
811,76,977
242,78,838
15,98,655
298,17,440
712,77,627
123,76,829
623,77,996
276,81,312
937,91,678
841,5,947
248,34,719
647,10,191
509,64,366
180,91,342
695,12,945
981,28,712
494,78,691
431,93,187
588,78,229
879,32,553
333,72,472
241,72,458
745,21,565
412,35,824
547,65,779
222,89,835
524,71,665
753,45,218
773,98,904
244,39,258
742,27,985
280,87,808
572,57,333
219,3,628
256,90,266
991,64,314
486,92,349
77,53,777
176,55,784
589,50,899
603,86,940
956,67,880
90,11,197
71,34,516
149,14,840
203,12,761
665,68,753
546,10,320
522,84,93
278,91,732
386,24,322
201,97,169
67,75,107
758,2,513
80,33,146
143,55,257
488,72,546
396,90,470
808,70,220
505,41,36
391,93,35
600,99,555
589,6,29
721,1,85
190,93,374
573,30,208
645,14,810
105,80,903
198,35,736
322,29,525
111,29,176
713,68,340
879,10,456
792,52,919
523,51,797
628,46,510
400,58,354
474,3,14
466,22,941
213,59,336
517,69,746
339,83,919
564,80,51
722,61,505
773,10,11
192,33,537
946,29,632
318,58,774
802,70,483
369,78,123
664,18,912
269,34,639
663,76,766
746,5,402
913,94,940
13,51,867
384,72,834
915,63,670
963,69,41
328,46,747
242,73,40
849,48,499
836,97,1000
323,81,503
508,6,821
554,85,490
232,12,105
668,74,323
896,84,505
263,58,551
274,3,879
205,51,870
6,41,389
854,51,806
295,18,475
385,69,586
632,92,782
915,95,388
592,42,669
895,91,181
513,89,674
259,47,324
856,76,487
224,34,307
871,96,715
818,73,630
211,27,84
752,28,737
581,84,476
954,55,240
837,90,750
822,23,217
419,70,223
177,5,992
300,87,622
972,66,978
720,37,271
982,98,48
102,31,668
1,72,573
909,92,35
267,31,87
636,68,898
275,66,885
259,86,250
927,26,83
821,32,664
516,33,121
6,43,531
243,31,699
59,96,599
169,16,988
58,75,156
287,68,548
406,3,16
101,25,171
332,61,957
615,74,592
702,25,692
787,36,875
111,32,894
542,4,222
395,46,148
128,56,550
827,10,881
638,46,77
352,34,212
846,15,990
655,85,179
394,29,482
851,18,840
2,98,120
444,75,367
815,62,497
199,32,725
719,39,234
824,85,276
594,64,190
55,44,528
7,43,412
252,10,327
985,11,539
846,6,750
506,84,14
920,26,941
920,90,813
50,20,318
808,37,320
867,79,604
219,9,601
475,99,549
59,10,902
458,3,259
201,19,321
580,5,781
886,82,16
346,4,821
334,46,889
253,78,194
469,46,557
994,14,247
516,100,374
609,49,443
364,16,304
298,81,828
240,70,751
923,15,982
443,10,359
453,47,749
652,67,43
416,6,6
338,12,927
75,80,802
992,68,98
662,30,759
909,42,256
229,38,693
586,79,665
755,28,356
567,24,621
142,59,463
906,100,510
927,94,529
67,10,974
595,93,635
888,99,173
615,50,464
200,97,124
473,64,692
458,60,350
403,23,661
801,15,621
935,12,407
330,93,908
157,45,354
483,68,528
721,8,968
59,31,914
382,58,777
663,17,293
426,2,352
302,12,800
955,3,619
208,26,797
625,21,271
105,1,289
606,47,421
438,77,649
399,2,78
85,18,666
226,84,833
398,65,253
410,66,930
706,12,384
299,75,131
646,39,938
662,26,972
823,65,501
564,87,510
230,94,155
109,90,373
229,8,268
368,70,374
654,39,922
563,39,926
994,11,408
37,67,636
285,2,136
265,2,33
735,24,282
445,51,756
387,35,838
683,53,202
512,49,117
832,91,903
441,42,195
791,18,400
993,65,833
922,55,426
71,84,347
562,83,852
331,94,379
516,22,879
654,82,213
774,58,391
989,3,878
886,96,948
138,49,865
727,85,288
531,21,449
226,29,386
815,22,204
858,7,88
535,17,932
452,20,135
587,42,281
696,77,235
834,90,843
682,24,206
401,99,78
637,87,616
290,49,981
616,19,670
205,24,72
820,18,65
997,30,215
978,43,146
237,19,149
436,79,181
962,55,84
728,76,487
708,95,681
393,83,807
38,51,715
372,31,583
195,1,994
721,76,282
43,95,514
976,82,136
302,62,5
339,82,424
873,18,76
56,28,878
728,70,951
805,42,151
693,94,225
662,82,703
625,75,1
833,41,545
482,69,555
403,96,136
987,97,480
807,45,578
861,31,407
254,30,363
102,2,855
280,6,2
386,82,206
599,53,100
770,71,101
286,96,104
29,87,567
746,1,187
239,98,336
994,79,232
536,68,402
618,55,471
348,42,518
42,54,408
679,99,75
734,83,211
2,33,277
731,20,669
626,65,691
369,76,479
30,64,96
367,25,434
954,96,362
194,19,942
228,78,127
749,33,166
643,36,41
110,7,859
639,67,157
478,93,236
483,94,426
847,50,101
787,35,215
342,35,942
774,1,512
988,82,192
845,6,6
207,74,129
911,8,347
433,86,352
19,2,262
407,87,127
80,55,266
454,9,92
933,44,184
793,32,810
453,52,96
788,59,873
85,35,817
438,24,712
953,84,476
604,56,41
76,55,622
45,83,910
824,23,156
702,67,184
830,47,700
132,50,319
380,15,868
230,45,353
836,40,40
797,35,196
201,12,227
758,3,850
847,25,879
349,53,447
201,41,605
251,22,372
998,9,536
257,52,563
682,81,526
742,95,19
251,24,169
869,44,166
6,46,518
390,83,391
854,24,225
173,95,615
218,38,49
539,20,915
290,57,717
841,4,537
109,60,38
74,87,146
336,7,846
902,92,517
106,88,23
570,15,435
837,83,214
972,88,213
489,79,743
827,11,4
799,44,802
310,96,92
48,79,550
324,36,364
948,56,715
367,63,439
526,63,554
116,77,549
106,6,975
127,41,111
54,57,125
434,1,624
891,83,520
900,48,196
369,68,77
932,15,202
508,61,555
910,8,637
421,74,18
832,17,414
718,39,934
231,28,678
413,29,666
193,9,165
871,67,332
715,2,268
293,57,794
675,89,940
176,36,526
648,39,278
691,89,519
260,39,950
730,42,548
593,13,300
144,73,374
890,58,422
716,44,568
135,87,635
849,18,845
27,57,615
453,92,303
255,7,577
566,25,193
662,49,723
122,31,322
598,52,569
366,39,584
987,19,297
772,39,178
45,48,27
819,70,342
461,20,851
945,69,441
493,62,368
2,4,624
630,92,531
329,30,760
62,86,388
869,90,339
247,61,892
670,82,640
946,22,791
321,47,860
502,46,572
287,3,480
586,63,627
557,69,797
238,58,676
126,86,168
512,97,298
604,61,480
519,18,203
135,13,684
679,87,383
241,1,703
119,29,534
396,12,184
737,25,245
420,18,166
883,35,784
